order_id,customer_id,product_id,quantity,order_date,status
138,887,40,5,2025-11-07,CANCELLED
139,657,7,5,2025-12-03,SHIPPED
140,666,1,3,2025-10-21,SHIPPED
141,532,35,4,2025-12-12,SHIPPED
142,558,38,1,2025-12-09,CANCELLED
143,783,35,3,2025-11-14,CANCELLED
144,517,40,1,2025-10-31,CANCELLED
145,148,50,2,2025-11-08,CANCELLED
146,330,44,5,2025-11-22,DELIVERED
147,449,22,4,2025-11-17,CANCELLED
148,603,2,5,2025-12-10,
149,14,3,1,2025-11-29,PENDING
150,535,13,4,2025-11-24,PENDING
151,170,10,2,2025-11-19,DELIVERED
152,43,27,5,2025-11-27,DELIVERED
153,479,43,5,2025-10-26,DELIVERED
154,894,17,4,2025-12-14,SHIPPED
155,298,3,2,2025-12-07,DELIVERED
156,892,2,4,2025-11-17,CANCELLED
157,941,6,2,2025-10-22,CANCELLED
158,211,39,5,2025-12-10,DELIVERED
159,440,10,1,2025-12-10,SHIPPED
160,452,17,1,2025-11-16,PENDING
161,416,47,5,2025-11-08,DELIVERED
162,542,8,5,2025-11-23,CANCELLED
163,424,11,5,2025-10-28,PENDING
164,888,34,5,2025-12-11,CANCELLED
165,595,32,4,2025-10-27,CANCELLED
166,271,30,5,2025-11-14,DELIVERED
167,751,48,3,2025-11-09,PENDING
168,555,26,3,2025-11-01,PENDING
169,263,24,2,2025-11-09,PENDING
170,602,48,5,2025-10-22,CANCELLED
171,423,18,5,2025-12-08,CANCELLED
172,202,41,3,2025-12-13,DELIVERED
173,7,42,4,2025-11-09,PENDING
174,917,50,2,2025-12-15,PENDING
175,987,21,5,2025-10-24,CANCELLED
176,697,50,1,2025-12-03,PENDING
177,768,37,5,2025-10-30,PENDING
178,498,34,1,2025-11-04,CANCELLED
179,778,2,5,2025-11-04,DELIVERED
180,306,48,4,2025-12-05,SHIPPED
181,673,14,5,2025-11-05,PENDING
182,229,36,5,2025-11-20,SHIPPED
183,79,7,2,2025-10-21,SHIPPED
184,44,14,3,2025-10-26,SHIPPED
185,897,18,3,2025-10-30,CANCELLED
186,808,37,2,2025-11-14,SHIPPED
187,102,18,5,2025-12-19,SHIPPED
188,613,46,4,2025-10-21,DELIVERED
189,307,15,4,2025-10-27,CANCELLED
190,363,34,2,2025-11-03,
191,38,42,5,2025-12-03,SHIPPED
192,760,4,2,2025-10-28,DELIVERED
193,920,23,5,2025-11-05,SHIPPED
194,762,15,1,2025-12-06,PENDING
195,604,9,3,2025-11-28,DELIVERED
196,304,33,2,2025-11-17,SHIPPED
197,435,10,3,2025-12-07,SHIPPED
198,129,19,5,2025-11-11,PENDING
199,52,23,5,2025-10-27,PENDING
200,927,2,3,2025-11-18,SHIPPED
201,370,47,1,2025-12-17,PENDING
202,925,1,2,2025-12-17,CANCELLED
203,82,12,5,2025-11-22,DELIVERED
204,44,31,5,2025-11-13,CANCELLED
205,893,26,3,2025-10-27,SHIPPED
206,11,27,1,2025-11-08,PENDING
207,981,39,4,2025-11-09,SHIPPED
208,943,32,5,2025-12-11,CANCELLED
209,540,36,5,2025-11-05,DELIVERED
210,759,49,5,2025-12-05,PENDING
211,467,12,2,2025-12-07,SHIPPED
212,723,38,2,2025-12-20,SHIPPED
213,64,43,2,2025-10-31,PENDING
214,458,35,4,2025-12-06,CANCELLED
215,781,15,5,2025-11-03,CANCELLED
216,719,14,4,2025-11-23,DELIVERED
217,506,19,4,2025-12-05,CANCELLED
218,528,13,1,2025-11-10,DELIVERED
219,430,34,1,2025-10-27,SHIPPED
220,750,22,4,2025-10-23,DELIVERED
221,667,1,3,2025-11-07,SHIPPED
222,687,44,2,2025-10-23,SHIPPED
223,790,12,2,2025-12-16,DELIVERED
224,919,15,1,2025-11-21,DELIVERED
225,206,43,1,2025-10-27,PENDING
226,111,49,2,2025-11-27,CANCELLED
227,294,26,5,2025-10-22,CANCELLED
228,562,10,3,2025-11-06,PENDING
229,536,22,3,2025-12-07,DELIVERED
230,601,18,5,2025-10-21,PENDING
231,794,18,5,2025-10-25,DELIVERED
232,279,15,2,2025-10-21,PENDING
233,999999,25,1,2025-11-09,SHIPPED
234,828,14,2,2025-12-17,CANCELLED
235,751,22,4,2025-11-11,DELIVERED
236,730,43,5,2025-11-13,DELIVERED
237,759,30,1,2025-11-26,CANCELLED
238,1000,38,3,2025-12-02,CANCELLED
239,907,10,4,2025-12-05,SHIPPED
240,327,9,4,2025-12-14,PENDING
241,379,20,1,2025-11-01,CANCELLED
242,252,38,4,2025-12-08,SHIPPED
243,331,10,5,2025-11-10,DELIVERED
244,480,41,3,2025-12-20,PENDING
245,390,28,2,2025-10-27,SHIPPED
246,256,29,5,2025-11-07,DELIVERED
247,58,21,1,2025-11-14,SHIPPED
248,518,11,3,2025-12-11,CANCELLED
249,821,25,4,2025-10-26,PENDING
250,809,26,3,2025-12-19,SHIPPED
251,862,5,3,2025-10-23,SHIPPED
252,129,46,5,2025-11-18,PENDING
253,756,27,5,2025-10-27,SHIPPED
254,291,40,3,2025-11-26,DELIVERED
255,351,38,1,2025-11-10,PENDING
256,10,32,2,2025-10-24,DELIVERED
257,981,41,5,2025-10-26,DELIVERED
258,552,13,4,2025-12-15,SHIPPED
259,560,23,3,2025-10-22,DELIVERED
260,719,24,4,2025-12-11,SHIPPED
261,264,11,5,2025-11-09,SHIPPED
262,233,31,5,2025-10-26,DELIVERED
263,788,8,3,2025-11-06,SHIPPED
264,688,41,4,2025-11-02,PENDING
265,541,50,3,2025-12-13,DELIVERED
266,264,48,4,2025-12-20,CANCELLED
267,985,28,4,2025-11-02,DELIVERED
268,871,10,3,2025-12-17,PENDING
269,932,5,5,2025-10-23,CANCELLED
270,24,35,4,2025-11-30,DELIVERED
271,891,6,5,2025-11-19,PENDING
272,29,38,4,2025-12-10,SHIPPED
273,953,28,1,2025-12-07,PENDING
274,895,48,3,2025-10-22,CANCELLED
275,78,20,5,2025-11-06,CANCELLED
276,359,12,4,2025-12-10,DELIVERED
277,743,11,1,2025-11-01,DELIVERED
278,350,33,3,2025-11-25,CANCELLED
279,549,47,2,2025-11-09,CANCELLED
280,281,20,4,2025-12-20,CANCELLED
281,496,18,1,2025-11-16,PENDING
282,244,49,3,2025-12-14,CANCELLED
283,480,17,4,2025-10-21,DELIVERED
284,615,48,4,2025-12-18,SHIPPED
285,643,50,1,2025-11-09,SHIPPED
286,528,17,3,2025-10-30,SHIPPED
287,609,46,4,2025-11-10,PENDING
288,787,11,2,2025-12-03,PENDING
289,876,28,1,2025-11-05,PENDING
290,261,36,5,2025-12-09,DELIVERED
291,415,40,4,2025-11-09,SHIPPED
292,922,12,3,2025-11-29,PENDING
293,124,24,5,2025-12-10,SHIPPED
294,601,11,3,2025-12-01,CANCELLED
295,207,46,4,2025-10-28,DELIVERED
296,750,41,4,2025-11-10,DELIVERED
297,861,6,3,2025-10-31,CANCELLED
298,332,35,1,2025-12-17,PENDING
299,480,36,3,2025-11-27,CANCELLED
300,195,4,2,2025-12-14,DELIVERED
301,738,38,1,2025-12-11,CANCELLED
302,400,23,1,2025-11-11,SHIPPED
303,333,8,3,2025-11-03,CANCELLED
304,671,38,5,2025-11-23,DELIVERED
305,869,43,4,2025-12-09,DELIVERED
306,701,15,2,2025-12-09,SHIPPED
307,770,5,5,2025-12-09,DELIVERED
308,49,41,3,2025-12-01,CANCELLED
309,868,26,3,2025-10-24,DELIVERED
310,354,38,2,2025-12-11,DELIVERED
311,169,33,2,2025-12-14,PENDING
312,59,15,1,2025-11-15,DELIVERED
313,161,12,5,2025-11-11,SHIPPED
314,994,17,5,2025-12-16,PENDING
315,79,9,3,2025-11-05,SHIPPED
316,104,46,3,2025-11-28,SHIPPED
317,999999,41,3,2025-10-27,SHIPPED
318,514,36,5,2025-12-08,CANCELLED
319,313,20,1,2025-10-21,DELIVERED
320,241,10,5,2025-12-09,CANCELLED
321,512,30,4,2025-12-07,DELIVERED
322,530,27,2,2025-11-08,PENDING
323,699,2,4,2025-10-28,PENDING
324,675,22,5,2025-12-11,DELIVERED
325,155,8,2,2025-10-28,DELIVERED
326,764,43,3,2025-12-06,SHIPPED
327,72,46,2,2025-11-18,SHIPPED
328,719,34,5,2025-11-05,DELIVERED
329,301,17,4,2025-11-29,SHIPPED
330,36,30,5,2025-11-08,SHIPPED
331,71,29,5,2025-10-25,SHIPPED
332,856,33,2,2025-11-14,SHIPPED
333,81,5,5,2025-10-27,PENDING
334,44,18,2,2025-11-10,CANCELLED
335,421,17,5,2025-12-04,SHIPPED
336,266,20,2,2025-12-13,PENDING
337,918,43,5,2025-12-13,SHIPPED
338,884,43,2,2025-11-15,PENDING
339,142,9,4,2025-12-05,SHIPPED
340,302,15,3,2025-11-06,SHIPPED
341,339,11,1,2025-10-26,SHIPPED
342,131,31,5,2025-11-28,SHIPPED
343,891,38,4,2025-11-12,PENDING
344,863,42,4,2025-12-12,PENDING
345,699,45,1,2025-11-17,PENDING
346,517,3,2,2025-12-10,PENDING
347,6,12,5,2025-11-18,PENDING
348,147,27,5,2025-11-19,PENDING
349,419,3,2,2025-11-15,DELIVERED
350,972,32,3,2025-10-27,PENDING
351,329,5,3,2025-11-18,DELIVERED
352,746,6,1,2025-11-19,PENDING
353,972,15,1,2025-10-25,CANCELLED
354,310,48,1,2025-12-04,PENDING
355,173,42,5,2025-11-14,DELIVERED
356,267,42,3,2025-12-14,CANCELLED
357,373,38,5,2025-11-14,DELIVERED
358,565,22,1,2025-11-05,CANCELLED
359,293,11,5,2025-11-03,SHIPPED
360,716,23,4,2025-12-09,DELIVERED
361,982,32,5,2025-11-16,CANCELLED
362,478,48,3,2025-11-06,SHIPPED
363,196,8,5,2025-11-22,PENDING
364,93,47,3,2025-12-14,SHIPPED
365,573,35,3,2025-11-19,PENDING
366,281,35,3,2025-11-24,CANCELLED
367,835,12,1,2025-12-05,PENDING
368,727,8,5,2025-10-26,DELIVERED
369,120,20,4,2025-12-18,DELIVERED
370,731,1,4,2025-11-03,DELIVERED
371,514,31,1,2025-10-23,CANCELLED
372,535,45,2,2025-12-18,SHIPPED
373,771,9,3,2025-12-16,SHIPPED
374,55,35,2,2025-12-01,CANCELLED
375,281,36,4,2025-10-23,SHIPPED
376,957,50,5,2025-11-28,CANCELLED
377,291,50,5,2025-12-09,DELIVERED
378,338,9,3,2025-11-11,PENDING
379,183,29,5,2025-11-23,PENDING
380,77,40,3,2025-10-25,DELIVERED
381,835,22,3,2025-12-08,DELIVERED
382,999999,22,3,2025-10-31,DELIVERED
383,975,38,3,2025-10-29,PENDING
384,858,50,5,2025-12-06,DELIVERED
385,775,27,5,2025-11-13,SHIPPED
386,148,15,5,2025-10-31,PENDING
387,286,2,1,2025-11-05,PENDING
388,540,33,2,2025-12-19,CANCELLED
389,119,35,5,2025-12-19,SHIPPED
390,439,40,3,2025-11-16,PENDING
391,606,11,5,2025-11-26,PENDING
392,277,43,4,2025-10-30,DELIVERED
393,77,7,4,2025-11-09,SHIPPED
394,158,13,5,2025-10-22,CANCELLED
395,795,29,4,2025-11-06,PENDING
396,133,15,5,2025-11-07,CANCELLED
397,502,48,3,2025-11-07,CANCELLED
398,452,16,4,2025-11-03,DELIVERED
399,185,31,2,2025-10-21,PENDING
400,784,18,5,2025-11-16,SHIPPED
401,178,23,5,2025-11-23,PENDING
402,774,12,2,2025-11-24,CANCELLED
403,692,22,4,2025-12-18,SHIPPED
404,435,16,5,2025-12-03,PENDING
405,159,21,4,2025-10-25,DELIVERED
406,782,49,4,2025-11-18,DELIVERED
407,831,46,4,2025-12-17,CANCELLED
408,894,46,1,2025-12-10,DELIVERED
409,582,2,4,2025-12-17,PENDING
410,353,28,1,2025-11-05,PENDING
411,191,36,2,2025-12-17,SHIPPED
412,399,23,2,2025-12-14,PENDING
413,775,41,2,2025-12-16,DELIVERED
414,118,25,4,2025-11-24,SHIPPED
415,635,21,5,2025-12-11,PENDING
416,634,32,2,2025-11-26,PENDING
417,545,22,3,2025-11-17,DELIVERED
418,386,44,1,2025-10-25,PENDING
419,12,37,1,2025-11-13,PENDING
420,934,41,4,2025-11-03,SHIPPED
421,476,24,1,2025-10-26,PENDING
422,610,31,5,2025-11-18,SHIPPED
423,782,46,5,2025-12-20,CANCELLED
424,864,28,5,2025-11-25,PENDING
425,223,28,4,2025-11-21,SHIPPED
426,185,4,1,2025-12-07,SHIPPED
427,107,15,2,2025-11-08,PENDING
428,232,5,1,2025-10-26,DELIVERED
429,171,34,2,2025-12-01,DELIVERED
430,804,25,4,2025-12-08,CANCELLED
431,276,44,4,2025-12-16,SHIPPED
432,265,29,4,2025-12-14,PENDING
433,854,30,1,2025-10-30,DELIVERED
434,653,48,3,2025-12-12,SHIPPED
435,98,39,1,2025-11-08,CANCELLED
436,181,30,3,2025-12-04,CANCELLED
437,345,46,3,2025-11-24,CANCELLED
438,947,46,3,2025-10-29,SHIPPED
439,468,41,4,2025-12-01,PENDING
440,965,44,1,2025-12-02,SHIPPED
441,911,5,1,2025-12-08,CANCELLED
442,474,16,2,2025-11-27,DELIVERED
443,261,30,2,2025-11-29,PENDING
444,393,48,1,2025-10-30,CANCELLED
445,510,24,1,2025-12-14,CANCELLED
446,8,48,5,2025-11-13,SHIPPED
447,802,36,2,2025-12-11,PENDING
448,676,43,4,2025-12-16,PENDING
449,712,13,5,2025-12-14,DELIVERED
450,836,45,3,2025-11-15,SHIPPED
451,481,41,5,2025-10-21,PENDING
452,413,49,5,2025-11-11,SHIPPED
453,581,9,2,2025-10-23,DELIVERED
454,373,31,1,2025-11-01,CANCELLED
455,358,29,5,2025-11-22,PENDING
456,80,15,1,2025-11-03,SHIPPED
457,529,30,5,2025-12-11,DELIVERED
458,883,28,4,2025-11-17,PENDING
459,965,17,5,2025-10-21,CANCELLED
460,893,27,2,2025-10-29,SHIPPED
461,873,7,1,2025-11-05,SHIPPED
462,581,10,3,2025-11-28,PENDING
463,829,41,1,2025-10-23,DELIVERED
464,682,38,5,2025-11-01,SHIPPED
465,393,42,5,2025-11-05,PENDING
466,160,18,1,2025-12-03,SHIPPED
467,274,45,3,2025-12-16,SHIPPED
468,553,38,3,2025-11-04,DELIVERED
469,39,32,5,2025-11-17,PENDING
470,537,46,4,2025-10-25,CANCELLED
471,892,45,1,2025-11-15,SHIPPED
472,198,17,5,2025-11-21,PENDING
473,451,29,4,2025-11-10,SHIPPED
474,428,28,2,2025-11-21,DELIVERED
475,212,28,1,2025-10-31,CANCELLED
476,316,17,2,2025-11-16,PENDING
477,655,15,4,2025-12-10,SHIPPED
478,616,47,1,2025-11-26,PENDING
479,144,21,2,2025-11-15,DELIVERED
480,44,48,5,2025-11-14,PENDING
481,342,43,3,2025-12-18,
482,999999,44,2,2025-11-30,DELIVERED
483,723,45,5,2025-11-07,DELIVERED
484,288,44,3,2025-11-27,PENDING
485,960,4,1,2025-12-20,SHIPPED
486,137,45,3,2025-11-17,CANCELLED
487,347,39,5,2025-12-16,DELIVERED
488,66,31,4,2025-12-12,SHIPPED
489,374,41,2,2025-11-25,PENDING
490,790,13,3,2025-10-26,DELIVERED
491,303,7,3,2025-11-08,DELIVERED
492,966,24,1,2025-11-04,SHIPPED
493,710,8,2,2025-10-29,PENDING
494,595,37,2,2025-10-26,CANCELLED
495,430,46,4,2025-12-07,DELIVERED
496,786,3,2,2025-11-27,SHIPPED
497,139,2,2,2025-11-26,CANCELLED
498,750,16,4,2025-10-27,DELIVERED
499,277,2,4,2025-11-21,SHIPPED
500,177,12,1,2025-11-14,PENDING
501,686,35,5,2025-12-03,DELIVERED
502,818,49,5,2025-11-06,CANCELLED
503,10,21,3,2025-10-21,SHIPPED
504,749,17,4,2025-12-11,DELIVERED
505,418,42,4,2025-12-07,SHIPPED
506,264,7,4,2025-11-25,SHIPPED
507,757,28,2,2025-12-09,DELIVERED
508,309,4,1,2025-10-27,PENDING
509,39,28,3,2025-11-05,SHIPPED
510,975,6,3,2025-12-12,CANCELLED
511,150,39,5,2025-12-04,PENDING
512,585,34,2,2025-12-08,CANCELLED
513,198,49,1,2025-11-06,SHIPPED
514,974,20,4,2025-12-18,DELIVERED
515,618,10,2,2025-11-17,DELIVERED
516,690,31,4,2025-12-05,DELIVERED
517,999999,31,3,2025-10-25,SHIPPED
518,253,36,2,2025-11-16,PENDING
519,214,24,4,2025-12-09,DELIVERED
520,740,5,4,2025-12-08,DELIVERED
521,34,41,1,2025-11-18,PENDING
522,343,40,5,2025-11-07,CANCELLED
523,292,13,4,2025-12-06,SHIPPED
524,109,17,4,2025-11-09,SHIPPED
525,900,25,3,2025-10-29,PENDING
526,556,17,4,2025-11-27,PENDING
527,895,23,2,2025-12-09,CANCELLED
528,597,33,4,2025-11-14,SHIPPED
529,728,24,1,2025-10-21,SHIPPED
530,969,25,4,2025-11-08,SHIPPED
531,847,46,2,2025-12-06,CANCELLED
532,834,42,2,2025-10-28,SHIPPED
533,834,12,5,2025-12-20,DELIVERED
534,502,40,3,2025-12-06,DELIVERED
535,813,20,2,2025-11-06,SHIPPED
536,170,25,3,2025-12-11,CANCELLED
537,536,49,1,2025-11-16,PENDING
538,733,11,2,2025-11-21,SHIPPED
539,361,32,5,2025-11-20,PENDING
540,224,12,4,2025-12-18,SHIPPED
541,681,16,4,2025-12-10,PENDING
542,88,39,5,2025-11-11,DELIVERED
543,894,5,2,2025-10-25,PENDING
544,630,28,2,2025-12-19,DELIVERED
545,533,36,1,2025-11-24,PENDING
546,19,26,4,2025-11-01,CANCELLED
547,830,49,2,2025-11-12,SHIPPED
548,559,46,1,2025-11-12,CANCELLED
549,888,28,4,2025-12-10,CANCELLED
550,892,7,5,2025-12-19,CANCELLED
551,363,29,1,2025-12-01,PENDING
552,188,7,4,2025-11-20,SHIPPED
553,233,29,1,2025-11-08,PENDING
554,977,20,1,2025-11-06,DELIVERED
555,666,47,2,2025-12-06,PENDING
556,187,47,1,2025-11-07,DELIVERED
557,324,4,3,2025-11-22,DELIVERED
558,749,44,1,2025-11-24,PENDING
559,843,3,1,2025-12-01,PENDING
560,921,36,3,2025-12-07,SHIPPED
561,190,45,1,2025-12-18,CANCELLED
562,638,17,2,2025-11-15,DELIVERED
563,999999,37,5,2025-10-26,SHIPPED
564,592,24,1,2025-11-18,SHIPPED
565,569,29,3,2025-11-01,DELIVERED
566,191,47,4,2025-11-19,CANCELLED
567,820,7,3,2025-12-14,PENDING
568,657,2,5,2025-11-06,DELIVERED
569,666,40,1,2025-11-24,CANCELLED
570,505,19,1,2025-12-09,PENDING
571,948,11,5,2025-11-07,CANCELLED
572,898,8,5,2025-11-28,DELIVERED
573,652,4,2,2025-12-02,DELIVERED
574,665,3,5,2025-10-27,DELIVERED
575,890,27,4,2025-10-28,SHIPPED
576,220,44,1,2025-12-08,DELIVERED
577,677,26,5,2025-12-08,PENDING
578,716,30,2,2025-12-09,PENDING
579,688,27,3,2025-12-12,CANCELLED
580,901,28,4,2025-11-30,DELIVERED
581,884,15,3,2025-11-24,SHIPPED
582,960,2,3,2025-11-28,DELIVERED
583,725,30,5,2025-11-04,PENDING
584,297,44,1,2025-11-03,SHIPPED
585,910,13,3,2025-12-01,SHIPPED
586,775,36,5,2025-12-15,DELIVERED
587,907,12,5,2025-11-10,CANCELLED
588,125,20,5,2025-12-02,CANCELLED
589,24,1,5,2025-11-17,CANCELLED
590,198,47,5,2025-12-17,CANCELLED
591,163,4,4,2025-11-14,CANCELLED
592,932,48,3,2025-12-11,CANCELLED
593,999999,17,3,2025-12-09,DELIVERED
594,652,49,5,2025-11-05,DELIVERED
595,314,19,5,2025-12-15,SHIPPED
596,19,21,1,2025-11-18,PENDING
597,582,18,3,2025-11-24,DELIVERED
598,174,45,3,2025-11-28,SHIPPED
599,621,1,3,2025-10-30,PENDING
600,363,22,2,2025-11-12,CANCELLED
601,55,23,5,2025-10-25,PENDING
602,315,45,2,2025-12-05,SHIPPED
603,56,41,3,2025-12-18,SHIPPED
604,410,12,2,2025-10-22,SHIPPED
605,532,31,2,2025-11-06,CANCELLED
606,637,6,2,2025-12-03,SHIPPED
607,83,5,5,2025-11-14,SHIPPED
608,748,26,4,2025-11-04,SHIPPED
609,629,34,2,2025-10-25,PENDING
610,855,38,3,2025-12-09,SHIPPED
611,523,49,2,2025-11-28,CANCELLED
612,783,8,4,2025-11-24,PENDING
613,586,29,2,2025-12-02,CANCELLED
614,679,15,1,2025-12-08,DELIVERED
615,918,12,3,2025-12-03,CANCELLED
616,269,21,4,2025-12-03,DELIVERED
617,704,28,4,2025-11-30,SHIPPED
618,402,12,1,2025-12-02,SHIPPED
619,201,11,4,2025-10-24,PENDING
620,123,36,1,2025-11-03,SHIPPED
621,25,23,4,2025-12-06,DELIVERED
622,203,9,4,2025-11-10,CANCELLED
623,538,14,3,2025-11-23,DELIVERED
624,557,12,4,2025-11-04,SHIPPED
625,788,37,5,2025-12-10,CANCELLED
626,806,33,5,2025-12-17,CANCELLED
627,918,6,5,2025-12-10,PENDING
628,999999,33,4,2025-11-12,CANCELLED
629,485,39,1,2025-12-15,PENDING
630,642,28,3,2025-12-17,PENDING
631,982,13,3,2025-12-20,CANCELLED
632,481,10,1,2025-12-06,CANCELLED
633,989,15,2,2025-12-16,DELIVERED
634,607,25,3,2025-11-22,DELIVERED
635,997,25,1,2025-11-29,DELIVERED
636,621,41,4,2025-11-21,DELIVERED
637,555,22,1,2025-10-29,SHIPPED
638,852,31,1,2025-10-24,SHIPPED
639,701,25,5,2025-11-15,PENDING
640,529,41,5,2025-12-13,SHIPPED
641,947,28,2,2025-10-28,PENDING
642,15,19,5,2025-12-09,DELIVERED
643,525,7,5,2025-11-01,PENDING
644,699,22,1,2025-11-18,PENDING
645,812,47,3,2025-10-24,CANCELLED
646,905,10,4,2025-11-23,SHIPPED
647,814,15,4,2025-10-21,PENDING
648,474,37,5,2025-11-06,CANCELLED
649,607,50,5,2025-11-18,DELIVERED
